CSV_HEADER: sample,mag_x,mag_y,mag_z,timestamp_ms
MAG_DATA: 421,-83,217,341,21362
MAG_DATA: 422,-84,218,346,21412
MAG_DATA: 423,-88,218,354,21462
MAG_DATA: 424,-72,210,352,21512
MAG_DATA: 425,-85,219,347,21562
MAG_DATA: 426,-94,216,342,21612
MAG_DATA: 427,-80,220,348,21662
MAG_DATA: 428,-86,220,348,21712
MAG_DATA: 429,-82,222,344,21762
MAG_DATA: 430,-93,211,345,21812
MAG_DATA: 431,-83,219,347,21862
MAG_DATA: 432,-77,205,355,21912
MAG_DATA: 433,-72,204,360,21962
MAG_DATA: 434,-78,204,352,22012
MAG_DATA: 435,-75,207,359,22062
MAG_DATA: 436,-75,195,349,22112
MAG_DATA: 437,-70,196,354,22162
MAG_DATA: 438,-71,195,355,22212
MAG_DATA: 439,-65,185,365,22262
MAG_DATA: 440,-62,184,370,22312
MAG_DATA: 441,-51,183,357,22362
MAG_DATA: 442,-57,181,365,22412
MAG_DATA: 443,-47,169,357,22462
MAG_DATA: 444,-44,164,366,22512
MAG_DATA: 445,-47,153,371,22562
MAG_DATA: 446,-47,159,365,22612
MAG_DATA: 447,-38,150,354,22662
MAG_DATA: 448,-36,148,362,22712
MAG_DATA: 449,-37,143,365,22762
MAG_DATA: 450,-35,135,369,22812
MAG_DATA: 451,-40,128,374,22862
MAG_DATA: 452,-32,122,376,22912
MAG_DATA: 453,-29,119,383,22962
MAG_DATA: 454,-31,117,367,23012
MAG_DATA: 455,-26,98,378,23062
MAG_DATA: 456,-20,104,372,23112
MAG_DATA: 457,-23,97,379,23162
MAG_DATA: 458,-24,98,378,23212
MAG_DATA: 459,-27,83,377,23262
MAG_DATA: 460,-29,75,379,23312
MAG_DATA: 461,-31,69,387,23362
MAG_DATA: 462,-38,70,376,23412
MAG_DATA: 463,-29,55,385,23462
MAG_DATA: 464,-29,47,385,23512
MAG_DATA: 465,-31,45,377,23562
MAG_DATA: 466,-33,43,387,23612
MAG_DATA: 467,-36,46,388,23662
MAG_DATA: 468,-44,28,384,23712
MAG_DATA: 469,-37,33,389,23762
MAG_DATA: 470,-47,27,397,23812
MAG_DATA: 471,-48,14,392,23862
MAG_DATA: 472,-41,25,393,23912
MAG_DATA: 473,-38,14,388,23962
MAG_DATA: 474,-50,4,390,24012
MAG_DATA: 475,-50,8,400,24062
MAG_DATA: 476,-57,-1,393,24112
MAG_DATA: 477,-58,2,394,24162
MAG_DATA: 478,-55,-11,395,24212
MAG_DATA: 479,-61,-15,389,24262
MAG_DATA: 480,-63,-19,399,24312
MAG_DATA: 481,-61,-15,393,24362
MAG_DATA: 482,-66,-14,394,24412
MAG_DATA: 483,-71,-11,397,24462
MAG_DATA: 484,-71,-23,399,24512
MAG_DATA: 485,-74,-24,398,24562
MAG_DATA: 486,-80,-24,386,24612
MAG_DATA: 487,-88,-34,396,24662
MAG_DATA: 488,-88,-26,398,24712
MAG_DATA: 489,-89,-35,399,24762
MAG_DATA: 490,-86,-30,398,24812
MAG_DATA: 491,-86,-30,396,24862
MAG_DATA: 492,-97,-31,395,24912
MAG_DATA: 493,-104,-34,404,24962
MAG_DATA: 494,-96,-28,406,25012
MAG_DATA: 495,-101,-33,401,25062
MAG_DATA: 496,-99,-37,403,25112
MAG_DATA: 497,-103,-35,401,25162
MAG_DATA: 498,-101,-35,399,25212
MAG_DATA: 499,-98,-32,394,25262
INFO: Logged 500 samples
MAG_DATA: 500,-100,-38,402,25312
MAG_DATA: 501,-97,-41,397,25362
MAG_DATA: 502,-111,-43,401,25412
MAG_DATA: 503,-102,-40,396,25462
MAG_DATA: 504,-103,-35,393,25512
MAG_DATA: 505,-104,-38,406,25562
MAG_DATA: 506,-112,-36,402,25612
MAG_DATA: 507,-98,-36,400,25662
MAG_DATA: 508,-111,-45,403,25712
MAG_DATA: 509,-114,-48,404,25762
MAG_DATA: 510,-96,-48,406,25812
MAG_DATA: 511,-104,-42,400,25862
MAG_DATA: 512,-109,-37,397,25912
MAG_DATA: 513,-101,-37,405,25962
MAG_DATA: 514,-97,-43,405,26012
MAG_DATA: 515,-99,-41,399,26062
MAG_DATA: 516,-100,-34,394,26112
MAG_DATA: 517,-106,-36,400,26162
MAG_DATA: 518,-109,-31,403,26212
MAG_DATA: 519,-110,-36,392,26262
MAG_DATA: 520,-108,-32,406,26312
MAG_DATA: 521,-107,-35,399,26362
MAG_DATA: 522,-96,-40,400,26412
MAG_DATA: 523,-91,-43,397,26462
MAG_DATA: 524,-67,-43,391,26512
MAG_DATA: 525,-49,-33,389,26562
MAG_DATA: 526,-36,-26,382,26612
MAG_DATA: 527,-22,-36,370,26662
MAG_DATA: 528,-25,-61,367,26712
MAG_DATA: 529,-38,-50,370,26762
MAG_DATA: 530,-65,-49,389,26812
MAG_DATA: 531,-93,-57,379,26862
MAG_DATA: 532,-128,-58,396,26912
MAG_DATA: 533,-173,-25,399,26962
MAG_DATA: 534,-168,12,406,27012
MAG_DATA: 535,-180,26,410,27062
MAG_DATA: 536,-168,-46,392,27112
MAG_DATA: 537,-134,-44,390,27162
MAG_DATA: 538,-134,-46,394,27212
MAG_DATA: 539,-151,-49,393,27262
MAG_DATA: 540,-154,-44,390,27312
MAG_DATA: 541,-158,-42,384,27362
MAG_DATA: 542,-152,-54,382,27412
MAG_DATA: 543,-142,-46,388,27462
MAG_DATA: 544,-146,-42,396,27512
MAG_DATA: 545,-156,-46,392,27562
MAG_DATA: 546,-153,-45,385,27612
MAG_DATA: 547,-153,-49,389,27662
MAG_DATA: 548,-156,-44,396,27712
